date,lati,longi,flag,name
2015-02-19,37.8058,-122.421,0,view
2015-01-25,37.8058,-122.421,0,view
2015-02-17,37.8058,-122.421,0,view
2014-12-16,37.8058,-122.421,0,view
2015-01-19,37.8058,-122.421,0,view
2015-01-27,37.8058,-122.421,0,view
2015-03-01,37.8058,-122.421,0,view
2015-02-16,37.8058,-122.421,0,view
2014-12-27,37.8058,-122.421,0,view
2015-02-20,37.8058,-122.421,0,view
2015-03-01,37.8058,-122.421,0,view
2015-02-21,37.8058,-122.421,0,view
2015-01-02,37.8058,-122.421,0,view
2014-12-24,37.8058,-122.421,0,view
2015-02-10,37.8058,-122.421,0,view
2014-12-20,37.8058,-122.421,0,view
2014-12-11,37.8058,-122.421,0,view
2015-02-09,37.8058,-122.421,0,view
2015-02-15,37.8058,-122.421,0,view
2015-02-08,37.8058,-122.421,0,view
2015-02-28,37.8058,-122.421,0,view
2015-02-07,37.8058,-122.421,0,view
2015-02-06,37.8058,-122.421,0,view
2015-01-22,37.8058,-122.421,0,view
2015-01-12,37.8058,-122.421,0,view
2014-12-25,37.8058,-122.421,0,view
2015-02-02,37.8058,-122.421,0,view
2014-12-17,37.8058,-122.421,0,view
2015-01-20,37.8058,-122.421,0,view
2014-12-21,37.8058,-122.421,0,view
2015-01-23,37.8058,-122.421,0,view
2015-01-19,37.8058,-122.421,0,view
2014-12-04,37.8058,-122.421,0,view
2015-01-13,37.8058,-122.421,0,view
2015-02-02,37.8058,-122.421,0,view
2014-12-16,37.8058,-122.421,0,view
2015-01-19,37.8058,-122.421,0,view
2015-02-19,37.8058,-122.421,0,view
2015-01-13,37.8058,-122.421,0,view
2015-01-28,37.8058,-122.421,0,view
2015-01-31,37.8058,-122.421,0,view
2015-01-04,37.8058,-122.421,0,view
2014-12-25,37.8058,-122.421,0,view
2015-01-18,37.8058,-122.421,0,view
2014-12-18,37.8058,-122.421,0,view
2014-12-31,37.8058,-122.421,0,view
2015-02-20,37.8058,-122.421,0,view
2015-01-10,37.8058,-122.421,0,view
2015-02-14,37.8058,-122.421,0,view
2015-01-10,37.8058,-122.421,0,view
2015-02-17,37.8058,-122.421,0,view
2014-12-11,37.8058,-122.421,0,view
2015-01-15,37.8058,-122.421,0,view
2014-12-31,37.8058,-122.421,0,view
2015-02-18,37.8058,-122.421,0,view
2014-12-24,37.8058,-122.421,0,view
2014-12-10,37.8058,-122.421,0,view
2015-02-14,37.8058,-122.421,0,view
2014-12-22,37.8058,-122.421,0,view
2015-02-14,37.8058,-122.421,0,view
2015-02-17,37.8058,-122.421,0,view
2015-02-17,37.8058,-122.421,0,view
2014-12-09,37.8058,-122.421,0,view
2014-12-22,37.8058,-122.421,0,view
2014-12-23,37.8058,-122.421,0,view
2015-02-04,37.8058,-122.421,0,view
2014-12-28,37.8058,-122.421,0,view
2015-02-13,37.8058,-122.421,0,view
2014-12-17,37.8058,-122.421,0,view
2014-12-01,37.8058,-122.421,0,view
2015-02-12,37.8058,-122.421,0,view
2015-01-13,37.8058,-122.421,0,view
2014-12-17,37.8058,-122.421,0,view
2014-12-09,37.8058,-122.421,0,view
2015-02-07,37.8058,-122.421,0,view
